fips,geo_name,state_abb,type,population_2020,n,lng,lat
4530850,greenville,SC,City,70720,7,-82.39856544,34.84859464
4874144,tyler,TX,City,105995,7,-95.29417294,32.34113079
4943660,layton,UT,City,81773,7,-111.962525,41.07679867
5303180,auburn,WA,City,87256,7,-122.2466645,47.31922764
5357745,renton,WA,City,106785,7,-122.1875845,47.45314373
0120104,decatur,AL,City,57938,6,-86.98152827,34.60362365
1256975,pinellas park,FL,City,53093,6,-82.71058,27.84936421
1770122,skokie,IL,City,67824,6,-87.74040581,42.03612398
2431175,gaithersburg,MD,City,69657,6,-77.19560529,39.13684001
2621020,dearborn heights,MI,City,63292,6,-83.27536342,42.32995844
2686000,westland,MI,City,85420,6,-83.39977825,42.32060311
2829700,gulfport,MS,City,72926,6,-89.08866295,30.3802058
3119595,grand island,NE,City,53131,6,-98.35842727,40.91855842
4169600,springfield,OR,City,61851,6,-123.0163877,44.0483595
4820092,desoto,TX,City,56145,6,-96.8632736,32.59925967
4848804,missouri city,TX,City,74259,6,-95.52789172,29.60654581
0560410,rogers,AR,City,69908,5,-94.12648272,36.33218514
1235875,jupiter,FL,City,61047,5,-80.12257671,26.91924618
1371492,smyrna,GA,City,55663,5,-84.5168065,33.86436245
1781048,wheaton,IL,City,53970,5,-88.09442525,41.85868789
2513660,chicopee,MA,City,55560,5,-72.60577669,42.14548195
2529405,haverhill,MA,City,67787,5,-71.090524,42.77450659
3633139,hempstead,NY,City,59169,5,-73.61928874,40.70431237
3940040,kettering,OH,City,57862,5,-84.14957138,39.69566155
3949840,middletown,OH,City,50987,5,-84.40380462,39.51097756
4737640,jackson,TN,City,68205,5,-88.81715976,35.61612358
5560500,oshkosh,WI,City,66816,5,-88.56233458,44.0226066
1207875,boynton beach,FL,City,80380,4,-80.06552363,26.52877519
1216725,deerfield beach,FL,City,86859,4,-80.09914811,26.31848224
1217100,delray beach,FL,City,66846,4,-80.0790927,26.453546
1217200,deltona,FL,City,93692,4,-81.21333615,28.9050451
1239550,lauderhill,FL,City,74482,4,-80.22413258,26.16053766
1840392,kokomo,IN,City,59604,4,-86.13506901,40.46805563
2649000,livonia,MI,City,95535,4,-83.37329286,42.39715948
2964550,st. joseph,MO,City,72473,4,-94.82092036,39.75981261
3459190,plainfield,NJ,City,54586,4,-74.41587694,40.61527941
4023200,edmond,OK,City,94428,4,-97.4768499,35.65388441
4048350,midwest city,OK,City,58409,4,-97.37095692,35.46301036
4115800,corvallis,OR,City,59922,4,-123.2774817,44.56915758
4716420,collierville,TN,City,51324,4,-89.66850537,35.03943171
5357535,redmond,WA,City,73256,4,-122.125943,47.64914113
1239425,largo,FL,City,82485,3,-82.77272745,27.90870268
1735411,hoffman estates,IL,City,52530,3,-88.12307247,42.06289168
1810342,carmel,IN,City,99757,3,-86.12724237,39.97455402
1829898,greenwood,IN,City,63830,3,-86.103067,39.60834977
2408775,bowie,MD,City,58329,3,-76.74208652,38.95747515
2537875,malden,MA,City,66263,3,-71.05759567,42.43051508
2605920,battle creek,MI,City,52721,3,-85.19356835,42.31406815
2941348,lee's summit,MO,City,101108,3,-94.3814762,38.91718293
2965126,st. peters,MO,City,57732,3,-90.606638040000007,38.78275868
4827684,frisco,TX,City,200509,3,-96.82131311,33.1564933
2158620,owensboro,KY,City,60183,2,-87.11780846,37.75566997
2240735,lafayette,LA,City,121374,2,-92.03080253,30.21239331
2669035,rochester hills,MI,City,76300,2,-83.18319725,42.66602633
2670760,st. clair shores,MI,City,58874,2,-82.89635314,42.49276987
3103950,bellevue,NE,City,64176,2,-95.91898936,41.13960102
3734200,jacksonville,NC,City,72723,2,-77.40449426,34.76642536
3757500,rocky mount,NC,City,54341,2,-77.80362759,35.96741065
1255925,pensacola,FL,City,54312,1,-87.20405,30.4329349
3974118,springfield,OH,City,58662,1,-83.79238884,39.92912206
36059,nassau,NY,County,1395774,663,-73.58622623,40.73761782
36119,westchester,NY,County,1004457,653,-73.75591281,41.16176335
36055,monroe,NY,County,759443,647,-77.69595887,43.14694904
36027,dutchess,NY,County,295911,640,-73.74303603,41.76513375
26081,kent,MI,County,657974,604,-85.54918115,43.03204611
26099,macomb,MI,County,881217,594,-82.93255517,42.69584067
36013,chautauqua,NY,County,127657,569,-79.36664149,42.22817594
36103,suffolk,NY,County,1525920,568,-72.84423227,40.87024178
26125,oakland,MI,County,1274395,561,-83.38594391,42.66090645
06075,san francisco,CA,County,873965,502,-122.4396708,37.75668116
36029,erie,NY,County,954236,456,-78.73230753,42.76409998
17167,sangamon,IL,County,196343,434,-89.65883945,39.75818327
17197,will,IL,County,696355,432,-87.97829555,41.44485087
26163,wayne,MI,County,1793561,430,-83.28221321,42.28172038
17161,rock island,IL,County,144672,420,-90.56755378,41.46753509
17019,champaign,IL,County,205865,414,-88.19947606,40.13984863
36087,rockland,NY,County,338329,364,-74.02389861,41.15225744
36001,albany,NY,County,314848,357,-73.97341306,42.59987237
36071,orange,NY,County,401310,351,-74.30558896,41.40198158
17089,kane,IL,County,516522,348,-88.42861217,41.93895003
26145,saginaw,MI,County,190124,344,-84.0526996,43.33526107
17097,lake,IL,County,714342,336,-88.00373142,42.32318039
26065,ingham,MI,County,284900,336,-84.37346607,42.59737278
15001,hawaii,HI,County,200629,328,-155.5211676,19.60123507
26161,washtenaw,MI,County,372258,323,-83.83879891,42.25344402
